,For_key_ID,LSST_u,LSST_g,LSST_r,LSST_i,LSST_z,VIS,NISP_Y,NISP_J,NISP_H,z,t/Gyr,M*,M_initial,Z,SFH,tau/Gyr,Av_law,Av,t_l,physical,delta_LSST_u,delta_LSST_g,delta_LSST_r,delta_LSST_i,delta_LSST_z,delta_VIS,delta_NISP_Y,delta_NISP_J,delta_NISP_H
73439,520467,20.827384794189197,19.226371011506327,16.167724186963813,16.241802341773706,16.505141930706074,16.270437605389517,16.787628001111976,17.27649181543982,18.0440929419346,4.76,0.01,0.914,10000000000.0,-0.3,1.0,10.0,0.0,0.0,12.5286331,True,0.023453319503461342,0.009648156067953616,0.004926793048404496,0.006756539498394644,0.00908498720446217,0.002949336462205296,0.014815773157970006,0.017769872837458768,0.023453319503461342
58104,335372,21.96239615093633,21.269824338587693,21.102749220256566,20.94659964832129,20.858666968696912,21.135094890603238,20.56691824973306,19.824342706313892,19.74362361999346,2.07,0.1,0.7891,10000000000.0,-0.3,1.0,10.0,1.0,0.4,10.586359,True,0.036371760272289576,0.02188791129457119,0.03550784537254506,0.04700719317166742,0.056270959424333335,0.02047219077489241,0.07357399186597917,0.05017926780409318,0.04545318493962694
156836,766074,19.950539463485306,19.050462976101567,17.458035771438755,16.476937279397323,16.68642583308462,17.029692014404205,17.196224808414257,17.761035661276647,18.635478082477526,5.69,0.001,0.9845,10000000000.0,-0.3,1.0,1.0,0.0,0.0,12.7791471,True,0.016646553081793983,0.008991751995558699,0.00825589802432145,0.0074302652882243265,0.009780573474499824,0.003993965599975711,0.017522832919439537,0.02161943400500945,0.02956407667592198
6972,107129,22.904329780679266,21.387790423394012,18.035799302913066,17.244519055936887,17.192072798677124,17.6956663617646,17.46228823592284,17.729889560987523,18.38105804501591,5.35,0.005,0.9508,10000000000.0,0.0,1.0,3.0,1.0,0.2,12.6980972,True,0.05202886116953929,0.022949029275474018,0.010403137052162784,0.010141082597098372,0.012021656650780504,0.005210079137380376,0.01955439213004348,0.021348350277768997,0.02676481956740355
184972,856424,20.459256350335398,20.167436114621378,18.97300341097152,17.698173419217703,17.344470442894767,18.259061591080783,16.788077469507662,16.243757648441402,15.743922672650893,0.66,0.6,0.6882,10000000000.0,-0.3,1.0,1.0,1.0,0.4,6.2373796,True,0.020316286095721142,0.014067091746745369,0.015137157160123748,0.012195632247221278,0.012795118723319206,0.006522954061468279,0.014818502575624162,0.011714515193300372,0.009452883813725351
59006,337114,23.24573073042325,22.76088849628221,22.690423562910922,22.21028133231121,21.911838228569522,22.60886907097379,20.404585813746532,20.14429137924707,19.84717579283543,1.46,0.4,0.7162,10000000000.0,-0.3,1.0,10.0,1.0,0.4,9.3995037,True,0.05912951543391571,0.03984412739125269,0.06708174014568008,0.08170418833247868,0.09068267443773052,0.036627250609153915,0.06842334788739841,0.05726434795734415,0.04730252457055868
39589,268192,20.25790743060633,20.288297263396945,20.172766201858344,18.875991972589787,18.452058500586794,19.421616578314488,18.122667206269213,17.666672852815413,16.78874618832309,0.83,0.8,0.6806,10000000000.0,0.3,1.0,3.0,1.0,0.2,7.1584945000000015,True,0.01877778317373324,0.014765369514117953,0.024468329484774825,0.019751692691780717,0.020193161560469432,0.010365835677207438,0.025718422107857637,0.020808669860806248,0.014300931287510444
48640,284067,21.534829988925107,20.2407355082122,19.657150557451654,19.326938207077944,19.208709138975607,19.542884192941347,19.02954460456784,18.43513125810784,18.222800905589246,2.17,0.008,0.9269,10000000000.0,0.0,1.0,1.0,1.0,0.6,10.7472382,True,0.030854912557958383,0.014486528327000118,0.019905097993506038,0.02379492388790754,0.027695188153656056,0.0108783823694817,0.03766728516651401,0.028423942764618862,0.025156158359389374
92538,591019,19.8205753184567,16.003004482809935,15.501685801692233,15.794856932355525,15.802961332353446,15.664563847674485,16.0383417909542,16.600965856572888,17.136100695500687,3.66,0.01,0.9139,10000000000.0,0.3,1.0,1.0,0.0,0.0,12.0641165,True,0.015818464346134688,0.0026548764796455425,0.0037743686819548365,0.0056411067728353035,0.006832258977520417,0.0023152842635036225,0.01090948677041851,0.013528334093057605,0.016404549939517146
33614,260736,22.64760598886455,19.679049530010605,17.223005790048116,16.991427738484038,17.266834979719874,17.19465055258329,17.142731108177312,17.459148831870152,18.074134307597337,4.4,0.008,0.927,10000000000.0,0.3,1.0,3.0,1.0,0.2,12.4022236,True,0.047224168516923966,0.011566562794892498,0.007514919278473297,0.009151332181683932,0.012394936893275412,0.004265837620537278,0.017141322266477813,0.01913217391224789,0.023731452480707373
